T 	12	13	14	15	16	17
90	29+	29+	29+	26+	25+	22+
89	28	28	28	25	•	•
88	•	27	27	•	24	21
87	27	•	•	24	•	•
86	•	26	26	•	23	20
85	26	•	•	23	•	•
84	25	25	25	•	22	19
83	•	•	•	22	•	•
82	24	24	24	•	21	18
81	•	•	•	21	•	•
80	23	23	23	•	20	17
79	22	22	22	20	•	•
78	•	•	•	•	19	16
77	21	21	21	19	•	•
76	•	•	•	•	18	15
75	20	20	20	18	17	•
74	19	•	•	•	•	•
73	•	19	19	17	16	14
72	18	18	18	•	•	•
71	•	•	•	16	15	13
70	17	17	17	•	•	•
69	•	•	•	15	14	12
68	16	16	16	14	•	•
67	15	•	•	•	13	11
66	•	15	15	13	•	•
65	14	14	14	•	12	10
64	•	•	•	12	•	•
63	13	13	13	•	11	9
62	12	•	•	11	•	•
61	•	12	12	•	10	•
60	11	•	•	10	•	8
59	•	11	11	•	9	•
58	10	10	10	9	•	7
57	•	•	•	•	8	•
56	9	9	9	8	•	6
55	8	•	•	•	7	•
54	•	8	8	7	6	5
53	7	•	•	•	•	•
52	•	7	7	6	5	4
51	6	6	6	•	•	•
50	5	•	•	5	4	3
49	•	5	5	•	•	•
48	4	•	•	4	3	•
47	•	4	4	•	•	2
46	3	•	•	3	2	•
45	•	3	3	•	•	1
44	2	2	2	2	1	•
43	1	•	•	1	•	0
42	•	1	1	•	0	•
41	0	•	•	0	•	•
40	•	0	0	•	•	•
