T 	12	13	14	15	16	17	
90	23+	22+	22+	18+	20+	21+	
89	22	21	21	•	19	•	
88	•	•	•	17	•	20	
87	21	•	•	•	•	•	
86	•	20	20	16	18	•	
85	20	•	•	•	•	19	
84	•	19	19	•	17	•	
83	•	•	•	15	•	18	
82	19	18	18	•	•	•	
81	•	•	•	•	16	17	
80	18	•	•	14	•	•	
79	•	17	17	•	15	•	
78	17	•	•	•	•	16	
77	•	16	16	13	•	•	
76	16	•	•	•	14	15	
75	•	15	15	•	•	•	
74	15	•	•	12	13	14	
73	•	•	•	•	•	•	
72	14	14	14	•	•	•	
71	•	•	•	11	12	13	
70	•	13	13	•	•	•	
69	13	•	•	•	•	12	
68	•	12	12	10	11	•	
67	12	•	•	•	•	11	
66	•	•	•	•	10	•	
65	11	11	11	9	•	•	
64	•	•	•	•	•	10	
63	10	10	10	•	9	•	
62	•	•	•	8	•	9	
61	9	9	9	•	8	•	
60	•	•	•	•	•	8	
59	•	•	•	7	•	•	
58	8	8	8	•	7	7	
57	•	•	•	•	•	•	
56	7	7	7	6	6	•	
55	•	•	•	•	•	6	
54	6	6	6	•	•	•	
53	•	•	•	5	5	5	
52	5	5	5	•	•	•	
51	•	•	•	•	•	4	
50	4	•	•	4	4	•	
49	•	4	4	•	•	•	
48	3	•	•	•	3	3	
47	•	3	3	3	•	•	
46	•	•	•	•	•	2	
45	2	2	2	2	2	•	
44	•	•	•	•	•	1	
43	1	•	•	•	1	•	
42	•	1	1	1	•	•	
41	0	•	•	•	•	0	
40	•	0	0	0	0	•	
