T 	12	13	14	15	16	17	
90	23+	23+	27+	24+	29+	28+	
89	•	•	26	23	28	27	
88	22	22	•	•	27	•	
87	•	•	25	22	•	26	
86	21	21	•	•	26	•	
85	•	•	24	21	•	25	
84	20	20	•	•	25	24	
83	•	•	23	20	•	•	
82	•	•	•	•	24	23	
81	19	19	22	•	23	•	
80	•	•	•	19	•	22	
79	18	18	21	•	22	•	
78	•	•	•	18	•	21	
77	17	17	20	•	21	•	
76	•	•	19	17	20	20	
75	16	16	•	•	•	19	
74	•	•	18	16	19	•	
73	•	•	•	•	•	18	
72	15	15	17	15	18	•	
71	•	•	•	•	17	17	
70	14	14	16	14	•	•	
69	•	•	•	•	16	16	
68	13	13	15	•	•	•	
67	•	•	•	13	15	15	
66	12	12	14	•	•	•	
65	•	•	•	12	14	14	
64	•	•	13	•	13	13	
63	11	11	12	11	•	•	
62	•	•	•	•	12	12	
61	10	10	11	10	•	•	
60	•	•	•	•	11	11	
59	9	9	10	9	10	•	
58	•	•	•	•	•	10	
57	•	•	9	•	9	•	
56	8	8	•	8	•	9	
55	•	•	8	•	8	8	
54	7	7	•	7	7	•	
53	•	•	7	•	•	7	
52	6	6	•	6	6	•	
51	•	•	6	•	•	6	
50	5	5	•	5	5	•	
49	•	•	5	•	•	5	
48	•	•	4	4	4	•	
47	4	4	•	•	3	4	
46	•	•	3	•	•	3	
45	3	3	•	3	2	•	
44	•	•	2	•	•	2	
43	2	2	•	2	1	•	
42	•	•	1	•	0	1	
41	1	1	•	1	•	•	
40	0	0	0	0	•	0	
