T	6	7	8	9	10	11
90	33+	37+	34+	35+	30+	26
89	32	•	•	34	29	25
88	31	36	33	•	•	•
87	•	35	32	33	28	24
86	30	•	•	32	•	•
85	•	34	31	•	27	23
84	29	33	30	31	26	•
83	28	32	•	30	•	22
82	•	•	29	•	25	•
81	27	31	28	29	•	21
80	•	30	•	28	24	•
79	26	•	27	•	23	20
78	25	29	26	27	•	•
77	•	28	•	26	22	19
76	24	27	25	•	•	•
75	•	•	24	25	21	18
74	23	26	•	24	20	•
73	•	25	23	•	•	17
72	22	•	22	23	19	•
71	21	24	•	22	•	16
70	•	23	21	•	18	•
69	20	•	20	21	•	15
68	•	22	•	20	17	•
67	19	21	19	•	16	14
66	18	20	18	19	•	•
65	•	•	•	18	15	13
64	17	19	17	17	•	•
63	•	18	16	•	14	12
62	16	•	•	16	13	•
61	15	17	15	15	•	11
60	•	16	14	•	12	•
59	14	15	•	14	•	10
58	•	•	13	13	11	•
57	13	14	12	•	10	9
56	12	13	•	12	•	•
55	•	•	11	11	9	8
54	11	12	10	•	•	•
53	•	11	•	10	8	7
52	10	10	9	9	7	•
51	9	•	8	•	•	6
50	•	9	7	8	6	•
49	8	8	•	7	•	5
48	•	•	6	•	5	•
47	7	7	5	6	•	4
46	6	6	•	5	4	•
45	•	5	4	•	3	3
44	5	•	3	4	•	•
43	•	4	•	3	2	2
42	4	3	2	•	•	•
41	3	•	1	2	1	1
40	0,1,2	0,1,2	0	0,1	0	0
